event_id,timestamp_utc,host,user,process_name,ioc_type,ioc_value,detection_rule,source_ip,destination_ip
evt-email_addresses-000001,2026-06-01T00:04:04+00:00,ENG-LAB-028,user079,winword.exe,Email Address,thuang6102@gmail.com,IOC-EMAIL-879,10.3.1.245,198.51.100.11
evt-email_addresses-000002,2026-06-01T00:08:16+00:00,ENG-LAB-059,user044,chrome.exe,Email Address,earlt1948@gmail.com,IOC-EMAIL-469,10.2.107.184,203.0.113.100
evt-email_addresses-000003,2026-06-01T00:17:35+00:00,ENG-LAB-057,user070,teams.exe,Email Address,amianggitaphill@yahoo.com,IOC-EMAIL-294,10.3.25.143,198.51.100.158
evt-email_addresses-000004,2026-06-01T00:39:03+00:00,ENG-LAB-012,user071,winword.exe,Email Address,zoezlb@gmail.com,IOC-EMAIL-401,10.3.169.241,203.0.113.66
evt-email_addresses-000005,2026-06-01T00:49:08+00:00,ENG-LAB-021,user096,reg.exe,Email Address,suzannehhu316@outlook.com,IOC-EMAIL-384,10.3.1.245,198.51.100.162
evt-email_addresses-000006,2026-06-01T01:34:43+00:00,ENG-LAB-053,user008,svchost.exe,Email Address,helpdesk+233@example.example,IOC-EMAIL-336,10.2.250.65,203.0.113.234
evt-email_addresses-000007,2026-06-01T01:57:36+00:00,ENG-LAB-012,user023,python.exe,Email Address,admin+145@lab.invalid,IOC-EMAIL-881,10.3.239.222,198.51.100.227
evt-email_addresses-000008,2026-06-01T03:07:00+00:00,ENG-LAB-004,user050,python.exe,Email Address,alerts+876@example.invalid,IOC-EMAIL-445,10.2.116.58,198.51.100.149
evt-email_addresses-000009,2026-06-01T03:32:18+00:00,ENG-LAB-058,user087,svchost.exe,Email Address,research+219@example.invalid,IOC-EMAIL-442,10.3.84.216,198.51.100.195
evt-email_addresses-000010,2026-06-01T04:21:57+00:00,ENG-LAB-049,user074,rundll32.exe,Email Address,admin+demo76@example.example,IOC-EMAIL-162,10.2.126.216,203.0.113.89
evt-email_addresses-000011,2026-06-01T04:22:39+00:00,ENG-LAB-035,user076,msedge.exe,Email Address,training@example.example,IOC-EMAIL-980,10.3.84.68,198.51.100.47
evt-email_addresses-000012,2026-06-01T05:50:28+00:00,ENG-LAB-055,user055,powershell.exe,Email Address,alerts@university.example,IOC-EMAIL-724,10.2.238.114,203.0.113.178
evt-email_addresses-000013,2026-06-01T06:43:01+00:00,ENG-LAB-052,user060,winword.exe,Email Address,noreply+130@example.invalid,IOC-EMAIL-572,10.2.181.54,203.0.113.98
evt-email_addresses-000014,2026-06-01T06:52:45+00:00,ENG-LAB-020,user041,outlook.exe,Email Address,admin@example.example,IOC-EMAIL-652,10.3.181.109,198.51.100.251
evt-email_addresses-000015,2026-06-01T07:11:19+00:00,ENG-LAB-021,user006,rundll32.exe,Email Address,noreply@example.invalid,IOC-EMAIL-462,10.0.199.87,198.51.100.141
evt-email_addresses-000016,2026-06-01T08:02:10+00:00,ENG-LAB-042,user033,outlook.exe,Email Address,helpdesk+115@university.example,IOC-EMAIL-917,10.0.42.165,203.0.113.70
evt-email_addresses-000017,2026-06-01T09:06:13+00:00,ENG-LAB-034,user074,rundll32.exe,Email Address,admin@lab.invalid,IOC-EMAIL-255,10.1.75.7,198.51.100.178
evt-email_addresses-000018,2026-06-01T09:19:52+00:00,ENG-LAB-008,user098,outlook.exe,Email Address,admin@lab.invalid,IOC-EMAIL-530,10.3.109.139,198.51.100.140
evt-email_addresses-000019,2026-06-01T09:49:47+00:00,ENG-LAB-033,user035,reg.exe,Email Address,billing+856@university.example,IOC-EMAIL-228,10.0.54.200,198.51.100.46
evt-email_addresses-000020,2026-06-01T10:06:19+00:00,ENG-LAB-033,user067,rundll32.exe,Email Address,noreply@example.invalid,IOC-EMAIL-713,10.2.63.185,198.51.100.219
evt-email_addresses-000021,2026-06-01T10:06:43+00:00,ENG-LAB-042,user056,rundll32.exe,Email Address,admin+845@example.example,IOC-EMAIL-618,10.2.174.29,203.0.113.220
evt-email_addresses-000022,2026-06-01T12:28:55+00:00,ENG-LAB-010,user003,rundll32.exe,Email Address,training+663@lab.invalid,IOC-EMAIL-181,10.1.216.153,203.0.113.122
evt-email_addresses-000023,2026-06-01T12:40:25+00:00,ENG-LAB-026,user034,chrome.exe,Email Address,training+demo18@example.invalid,IOC-EMAIL-967,10.3.194.70,198.51.100.165
evt-email_addresses-000024,2026-06-01T12:46:28+00:00,ENG-LAB-047,user001,python.exe,Email Address,admin+464@lab.invalid,IOC-EMAIL-545,10.3.127.224,198.51.100.164
evt-email_addresses-000025,2026-06-01T12:46:59+00:00,ENG-LAB-027,user020,winword.exe,Email Address,admin+ticket53@university.example,IOC-EMAIL-571,10.3.212.16,203.0.113.74
evt-email_addresses-000026,2026-06-01T13:10:43+00:00,ENG-LAB-014,user076,reg.exe,Email Address,training+case87@example.invalid,IOC-EMAIL-887,10.0.58.175,198.51.100.139
evt-email_addresses-000027,2026-06-01T14:37:24+00:00,ENG-LAB-039,user023,msedge.exe,Email Address,helpdesk+808@lab.invalid,IOC-EMAIL-448,10.3.169.241,203.0.113.225
evt-email_addresses-000028,2026-06-01T15:02:06+00:00,ENG-LAB-043,user095,teams.exe,Email Address,it-support@example.example,IOC-EMAIL-970,10.0.119.222,203.0.113.59
evt-email_addresses-000029,2026-06-01T15:57:08+00:00,ENG-LAB-060,user070,chrome.exe,Email Address,security+ticket72@lab.invalid,IOC-EMAIL-124,10.3.93.72,203.0.113.53
evt-email_addresses-000030,2026-06-01T16:55:36+00:00,ENG-LAB-060,user063,reg.exe,Email Address,training@example.invalid,IOC-EMAIL-723,10.1.166.216,198.51.100.65
evt-email_addresses-000031,2026-06-01T18:14:14+00:00,ENG-LAB-055,user052,teams.exe,Email Address,admin+733@example.invalid,IOC-EMAIL-932,10.3.176.187,198.51.100.160
evt-email_addresses-000032,2026-06-01T18:26:25+00:00,ENG-LAB-026,user039,rundll32.exe,Email Address,alerts@university.example,IOC-EMAIL-921,10.0.47.163,203.0.113.2
evt-email_addresses-000033,2026-06-01T18:30:48+00:00,ENG-LAB-049,user011,winword.exe,Email Address,noreply+case61@lab.invalid,IOC-EMAIL-337,10.0.49.169,198.51.100.244
evt-email_addresses-000034,2026-06-01T19:21:12+00:00,ENG-LAB-020,user049,python.exe,Email Address,alerts+789@example.example,IOC-EMAIL-201,10.2.126.216,203.0.113.196
evt-email_addresses-000035,2026-06-01T20:01:06+00:00,ENG-LAB-021,user010,outlook.exe,Email Address,admin@example.invalid,IOC-EMAIL-856,10.3.167.104,198.51.100.36
evt-email_addresses-000036,2026-06-01T20:59:24+00:00,ENG-LAB-026,user060,teams.exe,Email Address,it-support+478@example.invalid,IOC-EMAIL-641,10.1.189.73,203.0.113.146
evt-email_addresses-000037,2026-06-01T21:04:06+00:00,ENG-LAB-001,user063,msedge.exe,Email Address,training@example.invalid,IOC-EMAIL-505,10.3.194.70,203.0.113.182
evt-email_addresses-000038,2026-06-01T21:20:25+00:00,ENG-LAB-026,user038,python.exe,Email Address,security@example.invalid,IOC-EMAIL-162,10.0.47.56,198.51.100.177
evt-email_addresses-000039,2026-06-01T21:27:34+00:00,ENG-LAB-048,user064,teams.exe,Email Address,alerts@lab.invalid,IOC-EMAIL-200,10.3.214.138,198.51.100.65
evt-email_addresses-000040,2026-06-01T23:14:38+00:00,ENG-LAB-011,user006,msedge.exe,Email Address,training@lab.invalid,IOC-EMAIL-816,10.3.109.131,203.0.113.48
evt-email_addresses-000041,2026-06-01T23:43:27+00:00,ENG-LAB-049,user081,svchost.exe,Email Address,billing@university.example,IOC-EMAIL-271,10.2.125.58,198.51.100.72
evt-email_addresses-000042,2026-06-02T00:55:02+00:00,ENG-LAB-002,user020,rundll32.exe,Email Address,helpdesk@example.invalid,IOC-EMAIL-846,10.3.73.68,203.0.113.34
evt-email_addresses-000043,2026-06-02T01:19:07+00:00,ENG-LAB-031,user007,teams.exe,Email Address,helpdesk@example.example,IOC-EMAIL-522,10.1.158.58,203.0.113.153
evt-email_addresses-000044,2026-06-02T01:44:07+00:00,ENG-LAB-034,user059,python.exe,Email Address,it-support@example.example,IOC-EMAIL-341,10.1.140.113,203.0.113.178
evt-email_addresses-000045,2026-06-02T03:15:47+00:00,ENG-LAB-049,user011,teams.exe,Email Address,security+289@example.example,IOC-EMAIL-351,10.0.126.149,198.51.100.137
evt-email_addresses-000046,2026-06-02T03:29:25+00:00,ENG-LAB-037,user095,python.exe,Email Address,soc+ticket47@example.invalid,IOC-EMAIL-502,10.1.220.202,198.51.100.239
evt-email_addresses-000047,2026-06-02T03:29:48+00:00,ENG-LAB-050,user044,winword.exe,Email Address,alerts@university.example,IOC-EMAIL-647,10.0.201.152,198.51.100.160
evt-email_addresses-000048,2026-06-02T04:17:06+00:00,ENG-LAB-025,user084,outlook.exe,Email Address,training+327@lab.invalid,IOC-EMAIL-840,10.0.54.200,203.0.113.73
evt-email_addresses-000049,2026-06-02T04:18:25+00:00,ENG-LAB-016,user006,reg.exe,Email Address,noreply@university.example,IOC-EMAIL-344,10.2.104.176,198.51.100.171
evt-email_addresses-000050,2026-06-02T04:27:56+00:00,ENG-LAB-024,user008,rundll32.exe,Email Address,it-support+859@example.invalid,IOC-EMAIL-951,10.3.109.139,198.51.100.85
evt-email_addresses-000051,2026-06-02T04:31:33+00:00,ENG-LAB-055,user082,chrome.exe,Email Address,soc+614@example.example,IOC-EMAIL-415,10.1.154.104,203.0.113.48
